"BX_ID","category","item","taxon","donor","comment"
"BX 307","SEEDS",1,"Hippeastrum striatum","Stephen Putman",NA
"BX 307","SEEDS",2,"Aristea ecklonii","SIGNA","The following seeds were donated by the Species Iris Group of North America"
"BX 307","SEEDS",3,"Babiana, mixed","SIGNA",NA
"BX 307","SEEDS",4,"Cipura paludosa","SIGNA",NA
"BX 307","SEEDS",5,"Crocus versicolor","SIGNA",NA
"BX 307","SEEDS",6,"Cypella herbertii","SIGNA",NA
"BX 307","SEEDS",7,"Dietes grandiflora","SIGNA",NA
"BX 307","SEEDS",9,"Dietes iridioides","SIGNA",NA
"BX 307","SEEDS",10,"Gladiolus tristis","SIGNA",NA
"BX 307","SEEDS",11,"Moraea huttonii","SIGNA",NA
"BX 307","SEEDS",12,"Moraea polystachya","SIGNA",NA
"BX 307","SEEDS",13,"Moraea setifolia","SIGNA",NA
"BX 307","SEEDS",14,"Moraea vegeta","SIGNA",NA
"BX 307","SEEDS",15,"Sisyrinchium angustifolium","SIGNA",NA
"BX 307","SEEDS",16,"Sisyrinchium bermudianum","SIGNA",NA
"BX 307","SEEDS",17,"Sisyrinchium idahoense","SIGNA",NA
"BX 307","SEEDS",18,"Sparaxis caryophyllacea","SIGNA",NA
"BX 307","SEEDS",19,"Sparaxis tricolor","SIGNA",NA
